arquivo,model,mode,ground_truth,prediction,count,pct_subset,pct_errors
predicoes_BASE_MODEL_image,BASE_MODEL,image,hate speech,inappropriate content,1,1.5625,2.127659574468085
predicoes_BASE_MODEL_image,BASE_MODEL,image,neither,neither,15,23.4375,100.0
predicoes_BASE_MODEL_image,BASE_MODEL,image,hate speech,neither,32,50.0,68.08510638297872
predicoes_BASE_MODEL_image,BASE_MODEL,image,inappropriate content,neither,13,20.3125,27.659574468085108
predicoes_BASE_MODEL_image,BASE_MODEL,image,inappropriate content,inappropriate content,1,1.5625,100.0
predicoes_BASE_MODEL_image,BASE_MODEL,image,neither,hate speech,1,1.5625,2.127659574468085
predicoes_BASE_MODEL_image,BASE_MODEL,image,hate speech,hate speech,1,1.5625,100.0
predicoes_BASE_MODEL_text,BASE_MODEL,text,hate speech,neither,31,48.4375,65.95744680851064
predicoes_BASE_MODEL_text,BASE_MODEL,text,neither,neither,14,21.875,100.0
predicoes_BASE_MODEL_text,BASE_MODEL,text,inappropriate content,neither,13,20.3125,27.659574468085108
predicoes_BASE_MODEL_text,BASE_MODEL,text,neither,hate speech,2,3.125,4.25531914893617
predicoes_BASE_MODEL_text,BASE_MODEL,text,hate speech,hate speech,3,4.6875,100.0
predicoes_BASE_MODEL_text,BASE_MODEL,text,inappropriate content,hate speech,1,1.5625,2.127659574468085
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,hate speech,neither,26,40.625,59.09090909090909
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,neither,hate speech,4,6.25,9.090909090909092
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,neither,neither,12,18.75,100.0
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,inappropriate content,neither,11,17.1875,25.0
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,inappropriate content,hate speech,3,4.6875,6.8181818181818175
predicoes_BASE_MODEL_text_description,BASE_MODEL,text_description,hate speech,hate speech,8,12.5,100.0
predicoes_BASE_MODEL_text_description_image,BASE_MODEL,text_description_image,hate speech,neither,34,53.125,70.83333333333334
predicoes_BASE_MODEL_text_description_image,BASE_MODEL,text_description_image,neither,neither,16,25.0,100.0
predicoes_BASE_MODEL_text_description_image,BASE_MODEL,text_description_image,inappropriate content,neither,14,21.875,29.166666666666668
predicoes_image_image,image,image,hate speech,neither,21,32.8125,43.75
predicoes_image_image,image,image,neither,inappropriate content,8,12.5,16.666666666666664
predicoes_image_image,image,image,hate speech,inappropriate content,7,10.9375,14.583333333333334
predicoes_image_image,image,image,neither,neither,7,10.9375,100.0
predicoes_image_image,image,image,hate speech,hate speech,6,9.375,100.0
predicoes_image_image,image,image,inappropriate content,hate speech,4,6.25,8.333333333333332
predicoes_image_image,image,image,inappropriate content,neither,7,10.9375,14.583333333333334
predicoes_image_image,image,image,inappropriate content,inappropriate content,3,4.6875,100.0
predicoes_image_image,image,image,neither,hate speech,1,1.5625,2.083333333333333
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,hate speech,inappropriate content,15,23.4375,28.846153846153843
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,neither,neither,10,15.625,100.0
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,hate speech,neither,19,29.6875,36.53846153846153
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,inappropriate content,neither,12,18.75,23.076923076923077
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,neither,inappropriate content,6,9.375,11.538461538461538
predicoes_text_description_image_text_description_image,text_description_image,text_description_image,inappropriate content,inappropriate content,2,3.125,100.0
predicoes_text_description_text_description,text_description,text_description,hate speech,neither,33,51.5625,70.2127659574468
predicoes_text_description_text_description,text_description,text_description,neither,neither,16,25.0,100.0
predicoes_text_description_text_description,text_description,text_description,inappropriate content,neither,13,20.3125,27.659574468085108
predicoes_text_description_text_description,text_description,text_description,hate speech,inappropriate content,1,1.5625,2.127659574468085
predicoes_text_description_text_description,text_description,text_description,inappropriate content,inappropriate content,1,1.5625,100.0
predicoes_text_text,text,text,hate speech,hate speech,3,4.6875,100.0
predicoes_text_text,text,text,neither,neither,15,23.4375,100.0
predicoes_text_text,text,text,hate speech,neither,31,48.4375,67.3913043478261
predicoes_text_text,text,text,inappropriate content,hate speech,4,6.25,8.695652173913043
predicoes_text_text,text,text,inappropriate content,neither,10,15.625,21.73913043478261
predicoes_text_text,text,text,neither,hate speech,1,1.5625,2.1739130434782608
