text,description,image_path,ground_truth,prediction
"se ve muy sabroso, pero con el frío se está bañando un día sí y otro no mejor mañana que se bañe.","La imagen es un meme dividido en dos paneles. En la parte superior, se observa una escena de una pareja en la cama; la mujer está acostada de lado mirando hacia la almohada, mientras que el hombre, que parece estar dando un masaje, tiene una expresión relajada. El texto dice: ""se ve muy sabroso, pero con el frío se está bañando un día sí y otro no.""

En la parte inferior, la misma pareja está presente en un formato similar. Aquí se muestra al hombre realizando una acción que parece ser un masaje en la espalda de la mujer. En la esquina inferior izquierda hay un dibujo de un pavo que lleva un delantal, acompañado de botellas que parecen ser cervezas. El texto dice: ""mejor mañana que se bañe."" 

El estilo del meme combina humor visual y textual con un enfoque en la relación de la pareja.",DS_IMG_3267.jpg,hate speech,hate speech
"- ""Muéstrame lo que sabes hacer con esa boquita😏"" Yo:","La imagen muestra a una mujer sentada en un entorno que parece social, con un fondo decorado con posters o gráficos. Ella tiene el cabello largo y oscuro, y su expresión facial parece intrigante o seductora. En su mano sostiene un sándwich, del cual está mordiendo una gran parte. La imagen incluye texto que alude a una solicitud humorística o provocativa para que muestre lo que puede hacer con su boca. La escena está capturada en un estilo informal y cotidiano.",DS_IMG_941.jpg,hate speech,neither
El día que Chile le faltó el respeto a Perú. 90 minutos de odio y humillación.,"La imagen presenta un meme relacionado con el fútbol. En la parte superior, se encuentra un texto en letras grandes que dice ""EL DÍA QUE CHILE LE FALTÓ EL RESPETO A PERÚ"" en color blanco sobre un fondo azul. Debajo, en un recuadro rojo, se lee ""90 MINUTOS DE ODIO Y HUMILLACIÓN"" en letras blancas.

En la parte inferior de la imagen se pueden observar escenas de un partido de fútbol, donde varios jugadores de la selección peruana, vestidos con camisetas blancas con una banda roja, parecen mostrar expresiones de frustración o desánimo. Un jugador chileno, vestido con un uniforme rojo, está en el aire, posiblemente realizando una jugada de alto impacto. El ambiente parece ser de alta tensión y competición.",DS_IMG_3038.jpg,hate speech,neither
YA DÉJALO YA ESTÁ MUERTO,"La imagen es un meme que utiliza un fotograma de la serie ""Los Simpsons"". En el primer plano, se observa a varios personajes, particularmente un niño en el suelo que parece estar inconsciente y otros niños mirando con expresiones de sorpresa o desinterés. Un personaje adulto, vestido con un disfraz y sosteniendo un cartel que dice ""morena"", se está acercando a otro personaje que parece estar tratando de evitar que se acerque al niño. Arriba, un texto en negrita dice ""YA DÉJALO YA ESTÁ MUERTO"". En la parte inferior de la imagen, se visualizan logotipos de varios partidos políticos: PRI, PAN y PRD, indicando un contexto electoral. El fondo presenta un ambiente festivo con decoraciones.",DS_IMG_2511.jpg,hate speech,neither
Ni machismo ni feminismo. Igualdad.,"La imagen es un meme que presenta un gato con una expresión facial inusual, que parece estar sonriendo o haciendo una mueca. El fondo es un ambiente doméstico desenfocado, y el gato es de color blanco con marcas negras. En la parte superior de la imagen, en letras grandes y resaltadas, se pueden leer las palabras ""NI MACHISMO NI FEMINISMO"". Abajo, también en letras grandes y destacadas, dice ""IGUALDAD"". La combinación de la expresión del gato y el texto crea un mensaje que juega con temas de igualdad de género.",DS_IMG_257.jpg,hate speech,neither
NO QUEDA NADA PARA JULIO,"La imagen es un meme en el que un hombre vestido con un atuendo blanco sonríe mientras mira hacia el suelo. Está en un entorno de supermercado, específicamente frente a un estante con productos vacíos. En la parte superior de la imagen, hay un texto en letras mayúsculas que dice: ""NO QUEDA NADA PARA JULIO"". El estante detrás de él está casi vacío, con solo unos pocos productos visibles en la parte superior. La expresión del hombre sugiere una mezcla de resignación y humor.",DS_IMG_2334.jpg,neither,neither
A esta escoba también le falta un palo y no anda enseñando las chichis en el face.,"La imagen muestra una escoba cuya cabeza está en el suelo, sobre una superficie de cemento. La escoba tiene cerdas de color rojo y un cuerpo de plástico gris. No tiene mango, lo que se destaca en el texto que la acompaña. El texto, escrito en la parte superior de la imagen, hace un comentario humorístico sobre la escoba, mencionando que también le falta un palo y comparando su situación con la de ciertos perfiles en redes sociales que muestran contenido provocativo.",DS_IMG_1902.jpg,hate speech,neither
Miss me spider (Me extraña araña),"La imagen es un meme que presenta una fotografía de una araña en primer plano, enfocando sus ojos grandes y pelaje característico. La araña se muestra en un fondo claro que resalta sus detalles. En la parte inferior de la imagen, hay un texto en letras grandes y negritas: ""Miss me spider"" junto con una traducción en español entre paréntesis: ""(Me extraña araña)"". La tipografía es llamativa y contrasta con el fondo, lo que enfatiza el mensaje humorístico del meme.",DS_IMG_2452.jpg,hate speech,neither
llegas borracho a tu casa después de año nuevo y no puedes meter la llave.,"La imagen es un meme que presenta a un personaje animado con aspecto de pato, vestido con un traje azul y una gorra. El pato sostiene una llave grande y dorada en su mano. Detrás de él hay una puerta de madera con un diseño rústico. En la parte superior de la imagen, hay un texto en letras mayúsculas que dice: ""LLEGAS BORRACHO A TU CASA DESPUÉS DE AÑO NUEVO Y NO PUEDES METER LA LLAVE"". La combinación de la imagen del pato y el texto sugiere una situación humorística relacionada con las dificultades de llegar a casa tras celebrar el Año Nuevo.",DS_IMG_2759.jpg,hate speech,neither
Cuando te saluda alguien que te cae mal.,"La imagen es un meme que presenta un texto en la parte superior que dice: ""Cuando te saluda alguien que te cae mal"". En la parte inferior hay una fotografía de una nutria que está de pie, sosteniendo con una de sus patas el brazo de una persona. La mano de la persona está extendida, como si estuviera saludando a la nutria. La nutria tiene una expresión facial que parece ser de desdén o indiferencia, con los ojos parcialmente cerrados y el cuerpo erguido. Hay una correa verde que cuelga de su cuerpo, y el fondo presenta un área de madera y una pared verde clara.",DS_IMG_2613.jpg,hate speech,neither
"Doñita, ¿por qué tan caro el aguaje? La guerra en Rusia, joven.","La imagen es un meme que muestra a una mujer en un mercado, sosteniendo un cuchillo y mirando hacia un grupo de frutas o verduras en varios recipientes frente a ella. Ella parece estar respondiendo a una pregunta con una expresión seria. El texto en la parte superior dice: ""DOÑITA POR QUE TAN CARO EL AGUAJE"", y en la parte inferior se encuentra: ""LA GUERRA EN RUSIA JOVEN"". Los textos son grandes y en negrita, lo que es característico de los memes, creando un contraste con la imagen.",DS_IMG_1674.jpg,hate speech,neither
